Epoch Number,Max,Min,Mean,Std Dev
552,3,0,0.388,0.644295
553,3,0,0.388,0.644295
554,3,0,0.388,0.644295
555,3,0,0.388,0.644295
556,3,0,0.388,0.644295
557,3,0,0.388,0.644295
558,3,0,0.388,0.644295
559,3,0,0.388,0.644295
560,3,0,0.388,0.644295
561,3,0,0.388,0.644295
562,3,0,0.388,0.644295
563,3,0,0.388,0.644295
564,3,0,0.388,0.644295
565,3,0,0.388,0.644295
566,3,0,0.388,0.644295
567,3,0,0.388,0.644295
568,3,0,0.388,0.644295
569,3,0,0.388,0.644295
570,3,0,0.388,0.644295
571,3,0,0.388,0.644295
572,3,0,0.388,0.644295
573,3,0,0.388,0.644295
574,3,0,0.392,0.651177
575,3,0,0.396,0.664039
576,4,0,0.4,0.682542
577,4,0,0.4,0.682542
578,4,0,0.404,0.683118
579,4,0,0.404,0.683118
580,4,0,0.404,0.683118
581,4,0,0.404,0.683118
582,4,0,0.404,0.683118
583,4,0,0.404,0.683118
584,4,0,0.404,0.683118
585,4,0,0.404,0.683118
586,4,0,0.404,0.683118
587,4,0,0.404,0.683118
588,4,0,0.404,0.683118
589,4,0,0.404,0.683118
590,4,0,0.408,0.683671
591,4,0,0.408,0.683671
592,4,0,0.408,0.683671
593,4,0,0.408,0.683671
594,4,0,0.408,0.683671
595,4,0,0.408,0.683671
596,4,0,0.408,0.683671
597,4,0,0.408,0.683671
598,4,0,0.408,0.683671
599,4,0,0.408,0.683671
600,4,0,0.408,0.683671
601,4,0,0.408,0.683671
602,4,0,0.412,0.684199
603,4,0,0.416,0.690544
604,4,0,0.416,0.690544
605,4,0,0.416,0.690544
606,4,0,0.42,0.691021
607,4,0,0.42,0.691021
608,4,0,0.424,0.691474
609,4,0,0.424,0.691474
610,4,0,0.424,0.691474
611,4,0,0.424,0.691474
612,4,0,0.424,0.691474
613,4,0,0.424,0.691474
614,4,0,0.424,0.691474
615,4,0,0.424,0.691474
616,4,0,0.424,0.691474
617,4,0,0.428,0.697684
618,4,0,0.428,0.697684
619,4,0,0.428,0.697684
620,4,0,0.428,0.697684
621,4,0,0.428,0.697684
622,4,0,0.428,0.697684
623,4,0,0.428,0.697684
624,4,0,0.428,0.697684
625,4,0,0.428,0.697684
626,4,0,0.432,0.698087
627,4,0,0.436,0.698466
628,4,0,0.436,0.698466
629,4,0,0.436,0.698466
630,4,0,0.436,0.698466
631,4,0,0.436,0.698466
632,4,0,0.436,0.698466
633,4,0,0.44,0.698823
634,4,0,0.44,0.698823
635,4,0,0.44,0.698823
636,4,0,0.44,0.698823
637,4,0,0.444,0.699156
638,4,0,0.448,0.699466
639,4,0,0.448,0.699466
